"COD_Ateneo";"NomeEsteso";"NomeOperativo";"Status";"Tipologia";"StataleLibera";"VIA";"COMUNE";"PROVINCIA";"REGIONE";"NOME_REGIONE_MACRO_ISTAT";"URL";"Ateneo_dimensione"
"04802";"Istituto Superiore di Educazione Fisica di Firenze";"Firenze ISEF";"Non attivo";"ISEF";"Non Statale";;"FIRENZE";"FIRENZE";"TOSCANA";"CENTRO";;
"04803";"Istituto Italiano di Scienze Umane di Firenze";"Firenze - Istituto Italiano di Scienze Umane";"Non attivo";"Scuola Superiore ad Ordinamento Speciale";"Statale   ";"Piazza degli Strozzi - Palazzo Strozzi";"FIRENZE";"FIRENZE";"TOSCANA";"CENTRO";"www.sumitalia.it";
"04804";"Università telematica ""Italian University line"" di Firenze";"Firenze IUL - telematica";"Attivo    ";"Università telematica";"Non Statale";"Via M. Buonarroti, 10";"FIRENZE";"FIRENZE";"TOSCANA";"CENTRO";;"inferiore a 10.000"
"05001";"Università degli studi di Pisa";"Pisa";"Attivo    ";"Università";"Statale   ";"Lungarno Pacinotti, 43/44";"PISA";"PISA";"TOSCANA";"CENTRO";"www.unipi.it";"da 30.000 a 59.999"
"05002";"Scuola normale superiore di Pisa";"Pisa Normale";"Attivo    ";"Scuola Superiore ad Ordinamento Speciale";"Statale   ";"P.zza dei Cavalieri, 7";"PISA";"PISA";"TOSCANA";"CENTRO";"www.sns.it";
"05003";"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa";"Pisa S.Anna";"Attivo    ";"Scuola Superiore ad Ordinamento Speciale";"Statale   ";"P.zza Martiri della Libertà, 33";"PISA";"PISA";"TOSCANA";"CENTRO";"www.sssup.it";
"05201";"Università degli studi di Siena";"Siena";"Attivo    ";"Università";"Statale   ";"Via Banchi di Sotto, 55";"SIENA";"SIENA";"TOSCANA";"CENTRO";"www.unisi.it";"da 10.000 a 19.999"
"05202";"Università per stranieri di Siena";"Siena Stranieri";"Attivo    ";"Università";"Statale   ";"Piazza Rosselli, 27-28";"SIENA";"SIENA";"TOSCANA";"CENTRO";"www.unistrasi.it";"inferiore a 10.000"
"05401";"Università degli studi di Perugia";"Perugia";"Attivo    ";"Università";"Statale   ";"P.zza dell' Universita', 1";"PERUGIA";"PERUGIA";"UMBRIA";"CENTRO";"www.unipg.it";"da 20.000 a 29.999"
"05402";"Istituto Superiore di Educazione Fisica di Perugia";"Perugia ISEF";"Non attivo";"ISEF";"Non Statale";;"PERUGIA";"PERUGIA";"UMBRIA";"CENTRO";;
"05403";"Università per stranieri di Perugia";"Perugia Stranieri";"Attivo    ";"Università";"Statale   ";"P.zza Fortebraccio, 4 Palazzo Gallenga";"PERUGIA";"PERUGIA";"UMBRIA";"CENTRO";"www.unistrapg.it";"inferiore a 10.000"
"05601";"Università degli Studi della Tuscia";"Tuscia";"Attivo    ";"Università";"Statale   ";"Via S.Maria in Gradi, 4";"VITERBO";"VITERBO";"LAZIO";"CENTRO";"www.unitus.it";"inferiore a 10.000"
"05801";"Università degli studi di Roma La Sapienza";"Roma La Sapienza";"Attivo    ";"Università";"Statale   ";"P.zza Aldo Moro, 5";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.uniroma1.it";"60.000 e oltre"
"05802";"Università degli studi di Roma Tor Vergata";"Roma Tor Vergata";"Attivo    ";"Università";"Statale   ";"Via O. Raimondo,18 Loc. La Romanina";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.uniroma2.it";"da 20.000 a 29.999"
"05803";"Libera Università Maria SS.Assunta - (LUMSA) di Roma";"Roma LUMSA";"Attivo    ";"Università";"Non Statale";"Via della Traspontina, 21";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.lumsa.it";"inferiore a 10.000"
"05805";"LUISS - Libera Università internazionale degli studi sociali Guido Carli di Roma";"Roma LUISS";"Attivo    ";"Università";"Non Statale";"Viale Pola, 12";"ROMA";"ROMA";"LAZIO";"CENTRO";"https://www.luiss.it";"inferiore a 10.000"
"05806";"Università degli studi di Roma ""Foro Italico""";"Roma Foro Italico";"Attivo    ";"Università";"Statale   ";"Piazza Lauro de Bosis, 15";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.iusm.it";"inferiore a 10.000"
"05807";"Università degli studi Roma Tre";"Roma Tre";"Attivo    ";"Università";"Statale   ";"Via Ostiense, 159";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.uniroma3.it";"da 30.000 a 59.999"
"05808";"Università Campus Bio-Medico di Roma";"Roma Biomedico";"Attivo    ";"Università";"Non Statale";"Via Alvaro del Portillo, 21";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unicampus.it";"inferiore a 10.000"
"05809";"Università degli Studi Internazionali di Roma – UNINT";"Roma UNINT";"Attivo    ";"Università";"Non Statale";"Via Cristoforo Colombo, 200";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.luspio.it";"inferiore a 10.000"
"05810";"Università telematica Guglielmo Marconi di Roma";"Roma Marconi - telematica";"Attivo    ";"Università telematica";"Non Statale";"via Plinio, 44";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unimarconi.it";"da 10.000 a 19.999"
"05811";"Università telematica Unitelma Sapienza di Roma";"Roma UNITELMA - telematica";"Attivo    ";"Università telematica";"Non Statale";"Viale Regina Elena, 295";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unitelma.it";"inferiore a 10.000"
"05812";"Università Europea di Roma";"Roma Europea";"Attivo    ";"Università";"Non Statale";"Via degli Aldobrandeschi, 190";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unier.it";"inferiore a 10.000"
"05813";"Università telematica internazionale UNINETTUNO di Roma";"Roma UNINETTUNO - telematica";"Attivo    ";"Università telematica";"Non Statale";"Corso Vittorio Emanuele II, 39";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.uninettunouniversity.net";"da 10.000 a 19.999"
"05814";"Universitas telematica Mercatorum di Roma";"Roma  Mercatorum - telematica";"Attivo    ";"Università telematica";"Non Statale";"Piazza Mattei, 10";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unimercatorum.it";"inferiore a 10.000"
"05815";"Università telematica Niccolò Cusano di Roma";"Roma UNICUSANO - telematica";"Attivo    ";"Università telematica";"Non Statale";"Via Don Carlo Gnocchi, 3";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unicusano.it";"da 20.000 a 29.999"
"05816";"Università telematica ""San Raffaele"" di Roma - già ""UNITEL""";"Roma San Raffaele - telematica";"Attivo    ";"Università telematica";"Non Statale";"Via di Val Cannuta, 247";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unisanraffaele.gov.it";"inferiore a 10.000"
"05817";"Link Campus University di Roma";"Roma Link Campus";"Attivo    ";"Università";"Non Statale";"via del Casale di San Pio n. 44";"ROMA";"ROMA";"LAZIO";"CENTRO";"www.unilink.it";"inferiore a 10.000"
"05818";"Saint Camillus International University of Health";"Roma Saint Camillus";"Attivo    ";"Università";"Non Statale";"via dei Cartari n. 42";"ROMA";"ROMA";"LAZIO";"CENTRO";;"inferiore a 10.000"
"06001";"Università degli Studi di Cassino e del Lazio Meridionale";"Cassino";"Attivo    ";"Università";"Statale   ";"Viale dell'Università-Rettorato CampusUniversitario - località Folcara";"CASSINO";"FROSINONE";"LAZIO";"CENTRO";"www.unicas.it";"inferiore a 10.000"
"06201";"Università degli Studi del Sannio";"Sannio";"Attivo    ";"Università";"Statale   ";"Piazza Guerrazzi, 1";"BENEVENTO";"BENEVENTO";"CAMPANIA";"SUD";"www.unisannio.it";"inferiore a 10.000"
"06202";"Università telematica ""Giustino Fortunato"" di Benevento";"Benevento Giustino Fortunato - telematica";"Attivo    ";"Università telematica";"Non Statale";"Viale R. Delcogliano, 12";"BENEVENTO";"BENEVENTO";"CAMPANIA";"SUD";"www.unifortunato.eu";"inferiore a 10.000"
"06301";"Università degli studi di Napoli Federico II";"Napoli Federico II";"Attivo    ";"Università";"Statale   ";"C.so Umberto I, 40";"NAPOLI";"NAPOLI";"CAMPANIA";"SUD";"www.unina.it";"60.000 e oltre"
"06302";"Università degli studi di Napoli - Parthenope";"Napoli Parthenope";"Attivo    ";"Università";"Statale   ";"Via Amm.F. Acton, 38";"NAPOLI";"NAPOLI";"CAMPANIA";"SUD";"www.uniparthenope.it";"da 10.000 a 19.999"
"06303";"Università degli studi L'Orientale di Napoli";"Napoli L'Orientale";"Attivo    ";"Università";"Statale   ";"Via Chiatamone, 61/62";"NAPOLI";"NAPOLI";"CAMPANIA";"SUD";"www.unior.it";"da 10.000 a 19.999"
"06304";"Università degli studi Suor Orsola Benincasa di Napoli";"Napoli Benincasa";"Attivo    ";"Università";"Non Statale";"Via Suor Orsola, 10";"NAPOLI";"NAPOLI";"CAMPANIA";"SUD";"www.unisob.na.it";"inferiore a 10.000"
"06305";"Istituto Superiore di Educazione Fisica di Napoli";"Napoli ISEF";"Non attivo";"ISEF";"Non Statale";;"NAPOLI";"NAPOLI";"CAMPANIA";"SUD";;
"06306";"Università degli studi della Campania ""Luigi Vanvitelli""";"Napoli Vanvitelli";"Attivo    ";"Università";"Statale   ";"Viale Abramo Lincoln n.5";"CASERTA";"CASERTA";"CAMPANIA";"SUD";"www.unicampania.it";"da 20.000 a 29.999"
"06307";"Università telematica ""Pegaso"" di Napoli";"Napoli Pegaso - telematica";"Attivo    ";"Università telematica";"Non Statale";"Piazza Trieste e Trento n. 48";"NAPOLI";"NAPOLI";"CAMPANIA";"SUD";"www.unipegaso.it";"da 30.000 a 59.999"
"06501";"Università degli studi di Salerno";"Salerno";"Attivo    ";"Università";"Statale   ";"Via Giovanni Paolo II, 132";"FISCIANO";"SALERNO";"CAMPANIA";"SUD";"www.unisa.it";"da 30.000 a 59.999"
"06601";"Università degli studi di L'Aquila";"L'Aquila";"Attivo    ";"Università";"Statale   ";"Via Giovanni Di Vincenzo 16/B";"L'AQUILA";"L'AQUILA";"ABRUZZO";"SUD";"www.univaq.it";"da 10.000 a 19.999"
"06602";"Istituto Superiore di Educazione Fisica di L'Aquila";"L'Aquila ISEF";"Non attivo";"ISEF";"Non Statale";;"L'AQUILA";"L'AQUILA";"ABRUZZO";"SUD";;
"06603";"Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila";"L'Aquila GSSI";"Attivo    ";"Scuola Superiore ad Ordinamento Speciale";"Statale   ";"Viale F. Crispi, 7";"L'AQUILA";"L'AQUILA";"ABRUZZO";"SUD";"www.gssi.infn.it";
"06701";"Università degli studi di Teramo";"Teramo";"Attivo    ";"Università";"Statale   ";"Via Renato Balzarini, 1";"TERAMO";"TERAMO";"ABRUZZO";"SUD";"www.unite.it";"inferiore a 10.000"
"06901";"Università degli studi Gabriele D'Annunzio di Chieti e Pescara";"Chieti e Pescara";"Attivo    ";"Università";"Statale   ";"Via dei Vestini, 31 Campus Universitario";"CHIETI";"CHIETI";"ABRUZZO";"SUD";"www.unich.it";"da 20.000 a 29.999"
"06902";"Università telematica non statale ""Leonardo da Vinci"" di Torrevecchia Teatina (CH)";"Torrevecchia Teatina Leonardo da Vinci - telematica";"Attivo    ";"Università telematica";"Non Statale";"Palazzo dei Baroni - Piazza San Rocco, 2";"TORREVECCHIA TEATINA";"CHIETI";"ABRUZZO";"SUD";"www.unidav.it";"inferiore a 10.000"
